"","x"
"612",2874
"613",2875
"614",2895
"615",2901
"616",2902
"617",2911
"618",2912
"619",2913
"620",2916
"621",2935
"622",2942
"623",2944
"624",2946
"625",2952
"626",2953
"627",2955
"628",2959
"629",2972
"630",2975
"631",2977
"632",2979
"633",2986
"634",2988
"635",2990
"636",2993
"637",2996
"638",2997
"639",2998
